headline,link,image,summary,"""retrieval_date",website,maincountry
Nigerian striker Dennis linked with return to Watford,https://guardian.ng/sport/nigerian-striker-dennis-linked-with-return-to-watford/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Nigeria forward Emmanuel Dennis is being linked with a return to Championship club Watford. Dennis is currently on loan at Turkish club Istanbul Basaksehir from Nottingham Forest. In eight league appearances for Istanbul Basaksehir this season, Dennis is yet to score or even provide any assist. In just one season at Watford (2021/22) the 26-year-old…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
AFCON 2023: 5 things learnt in Super Eagles victory against Guinea-Bissau,https://guardian.ng/sport/afcon-2023-5-things-learnt-in-super-eagles-victory-against-guinea-bissau/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"After a not too impressive start to the 2023 Africa Cup of Nations, the Super Eagles have qualified for the round of 16.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Wins for Nigeria, Equatorial Guinea leave host on the brink",https://guardian.ng/sport/wins-for-nigeria-equatorial-guinea-leave-host-on-the-brink/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Super Eagles yesterday defeated Guinea Bissau 1-0 to cement their place in the second round of the ongoing Africa Cup of Nations, but the shock of the day happened at the Allassane Quattara Stadium","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Egypt held to Cape Verde draw without Salah but through to AFCON last 16,https://guardian.ng/sport/egypt-held-to-cape-verde-draw-without-salah-but-through-to-afcon-last-16/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,The injured Mohamed Salah watched from the stands as Egypt played out a crazy 2-2 draw with Cape Verde at the Africa Cup of Nations on Monday,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Ikoyi agog as 39 teams battle for honours at 120th Lagos polo festival,https://guardian.ng/sport/ikoyi-agog-as-39-teams-battle-for-honours-at-120th-lagos-polo-festival/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,Organisers of the Lagos International Polo Tournament have assured fans of a great event featuring some of the best players of the game from across the world.,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Nigerian athletes will excel at African Games, Nesiama assures",https://guardian.ng/sport/nigerian-athletes-will-excel-at-african-games-nesiama-assures/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"AthIetics Federation of Nigeria (AFN) Head of Competitions and Management Committee, Commodore Omatseye Nesiama (rtd), has said that with positive synergy, the challenges facing the federation would be surmounted as it grapples with competitions in the new season.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Court sentences man to life imprisonment for sexual assault on his three children,https://guardian.ng/news/court-sentences-man-to-life-imprisonment-for-sexual-assault-on-his-three-children/,https://guardian.ng/wp-content/themes/guardian2021/images/share-facebook.png,"A Lagos High Court has sentenced Samuel Ademola Oladimeji to life imprisonment for the sexual assault by penetration on his three children. The ruling was delivered by Justice Abiola Sholadoye of the Special Offences Court sitting in Ikeja. Justice Sholadoye, while delivering the verdict, stated that the testimonies of the prosecution witnesses were unshaken and…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Betta Edu was a victim of circumstances, says Arewa women",https://guardian.ng/news/betta-edu-was-a-victim-of-circumstances-says-arewa-women/,https://guardian.ng/wp-content/themes/guardian2021/images/share-facebook.png,"Women under the aegis of Arewa Women Leaders Forum ( AWLF) have called on President Bola Ahmed Tinubu to lift the suspension slammed on the Minister of Humanitarian Affairs and Poverty Alleviation, Dr. Betta Edu. In a communique issued at the end of one-day northern women retreat in Abuja yesterday, the women argued that the…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Learn perseverance, don't make money your god, Tinubu tells Nigerians",https://guardian.ng/news/learn-perseverance-dont-make-money-your-god-tinubu-tells-nigerians/,https://guardian.ng/wp-content/themes/guardian2021/images/share-facebook.png,"President Bola Ahmed Tinubu has called on the Christian Association of Nigeria (CAN) to admonish Nigerians not to make money their god or master in a bid to make the nation better. According to Tinubu's Special Adviser on Information and Strategy, Bayo Onanuga, the President said this in a meeting with CAN leaders at the…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Man Stabs Neighbour For Allegedly “Snoring Too Loud”,https://guardian.ng/life/man-stabs-neighbour-for-allegedly-snoring-too-loud/,https://guardian.ng/wp-content/themes/guardian2021/images/share-facebook.png,"A quiet neighborhood in Upper Moreland was shattered by a tragic incident when a dispute over ""loud snoring"" escalated into a fatal stabbing, resulting in the death of 62-year-old Robert Wallace. The alleged assailant, 55-year-old Christopher Casey, now finds himself behind bars, facing charges related to the deadly altercation. According to reports from The Philadelphia…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Let local governments run according to the constitution,https://guardian.ng/opinion/let-local-governments-run-according-to-the-constitution/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,The recent position of the Senate urging the Federal Government to withhold statutory allocation to local councils without democratically elected leaders is yet another pointer to the lingering constitutional abnormality afflicting most local governments in the country.,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Judges, benchers, others pay tribute to Uwechue",https://guardian.ng/features/law/judges-benchers-others-pay-tribute-to-uwechue/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Lagos State Chief Judge, Justice Kazeem Alogba has described former Chairman of the Body of Benchers, the late Chief George Uwechue (SAN) as an erudite senior lawyer who would be dearly missed by the legal profession.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Man Stabs Neighbour For Allegedly “Snoring Too Loud”,https://guardian.ng/life/man-stabs-neighbour-for-allegedly-snoring-too-loud/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"A quiet neighborhood in Upper Moreland was shattered by a tragic incident when a dispute over ""loud snoring"" escalated into a fatal stabbing, resulting in the death of 62-year-old Robert Wallace. The alleged assailant, 55-year-old Christopher Casey, now finds himself behind bars, facing charges related to the deadly altercation. According to reports from The Philadelphia…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Snoop Dogg Declines $100M To Show His Manhood,https://guardian.ng/life/snoop-dogg-declines-100m-to-show-his-manhood/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Snoop Dogg, the iconic American rapper, recently disclosed that he turned down a staggering $100 million offer from OnlyFans to reveal his manhood publicly. The 52-year-old artist shared this insight in a candid interview. OnlyFans, known for its association with adult content, approached Snoop Dogg with the lucrative proposal, urging him to ""pull that thang…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Disney Animation And Kugali's ""Iwájú"" Set To Premiere",https://guardian.ng/life/disney-animation-and-kugalis-iwaju-set-to-premiere/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Walt Disney Animation Studios and Pan-African entertainment company Kugali proudly announce the upcoming release of the original six-part animated series, ""Iwájú,"" exclusively streaming on Disney+ starting February 28, 2024. A sneak peek with captivating images is now available for viewers. While the series debuts on February 28 in the US, release details for other regions,…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Martin Luther King Jr’s Youngest Son Dies From Cancer,https://guardian.ng/life/martin-luther-king-jrs-youngest-son-dies-from-cancer/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"In a somber announcement, the King Center revealed on Monday that Dexter Scott King, the youngest son of civil rights icons Martin Luther King Jr. and Coretta Scott King, has passed away at the age of 62. Dexter succumbed to prostate cancer at his home in Malibu, California. The news, first reported by @apnews, highlights…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Ben Bruce commends Tinubu for resolving disconnection feud between MTN, Glo",https://guardian.ng/technology/ben-bruce-commends-tinubu-for-resolving-disconnection-feud-between-mtn-glo/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"...says resolution will benefit Nigeria's economy Former senator of the Federal Republic of Nigeria, Senator Ben Murray-Bruce has commended president Bola Tinubu for intervening in the disconnection feud between two telecom giants, MTN Nigeria and Globacom. Senator Bruce said the president's intervention has brought a win-win solution for, not just the two telecom companies but…","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
"Unbundling of computer science teaching will boost IT, says NITDA",https://guardian.ng/technology/unbundling-of-computer-science-teaching-will-boost-it-says-nitda/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,The National Information Technology Development Agency (NITDA) has commended the recent decision by the National Board for Technical Education (NBTE) to unbundle the Higher National Diploma (HND) in computer science programme into four distinct specialisation,"Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
IGAD commissions digital hub for youth upskilling,https://guardian.ng/technology/igad-commissions-digital-hub-for-youth-upskilling/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"The Ijesha Global Alliance for Development (IGAD), a coalition of Ijeshas based in North America, Europe and in the Nigeria homeland, has commissioned the Ijesha Digital Hub and inducted its first cohort of 107 trainees in Artificial Intelligence, Cybersecurity and UI/UX Design.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Weak demand impacts computer shipment as sales fall by 13.9%,https://guardian.ng/technology/weak-demand-impacts-computer-shipment-as-sales-fall-by-13-9/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"Weak demand has been found largely responsible for the drop in computer shipment across the globe. International Data Corporation (IDC) Worldwide Quarterly Personal Computing Device Tracker, which revealed this","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
Konga rewards shoppers with freebies,https://guardian.ng/technology/konga-rewards-shoppers-with-freebies/,https://guardian.ng/wp-content/plugins/ventra-lazy-load/images/1x1.trans.gif,"In a new deal between ecommerce player, Konga and world-renowned technology company, Apple, shoppers in Nigeria are now able to buy original mobile and computing devices online.","Tuesday, 23. January 2024 04:26AM",https://guardian.ng/,nigeria
